,Algorithm,Dataset,Parameter,AUC,AUC_STD,ACC,ACC_STD,XMAP_AUC,XMAP_AUC_STD,XMAP_ACC,XMAP_ACC_STD,LAYER_AUC,LAYER_AUC_STD,LAYER_ACC,LAYER_ACC_STD
0,Logistic Regression,new_german_data,1,0.78452381,0.039174735,0.745,0.025,0.780285714,0.039548587,0.748,0.025612497,0.748952381,0.040949502,0.736,0.032924155
1,Decision Tree,new_german_data,NA,0.709809524,0.044031374,0.709,0.043231933,0.704166667,0.049755439,0.709,0.046357308,0.690261905,0.029511989,0.69,0.024083189
2,ANN,new_german_data,NA,0.779619048,0.046612602,0.735,0.020124612,0.783714286,0.04167404,0.741,0.029816103,0.745857143,0.031185241,0.727,0.030347982
3,XGBoost,new_german_data,NA,0.765142857,0.041868382,0.749,0.027367864,0.769285714,0.042545028,0.747,0.032264532,0.75952381,0.037714767,0.729,0.025865034
4,ScopeRules,new_german_data,NA,0.67097619,0.059263474,0.686,0.034698703,0.67102381,0.059182838,0.686,0.034698703,0.628238095,0.054480873,0.673,0.035510562
5,Logistic Regression,new_heart_data,1,0.903066419,0.063203521,0.819173155,0.085047411,0.896844699,0.066420283,0.819280682,0.084819555,0.880276341,0.068912151,0.822298851,0.074923668
6,Decision Tree,new_heart_data,NA,0.794854961,0.053829529,0.76681498,0.065624521,0.824662654,0.07110771,0.760348535,0.073470871,0.821248788,0.070050902,0.763366704,0.054336124
7,ANN,new_heart_data,NA,0.903308824,0.073153109,0.822843901,0.07751467,0.901494829,0.076877255,0.823173897,0.091217902,0.884530543,0.064168881,0.822291435,0.084202169
8,XGBoost,new_heart_data,NA,0.895695297,0.054478703,0.825632184,0.058422626,0.890075549,0.059916775,0.818850575,0.047343393,0.87497778,0.059670929,0.802506489,0.067770977
9,ScopeRules,new_heart_data,NA,0.8630343,0.075103607,0.719451242,0.046476411,0.861308177,0.079616698,0.723229514,0.046255318,0.859216427,0.069050499,0.702877271,0.04629947
10,Logistic Regression,new_churn_data,1,0.842344281,0.018301036,0.800340586,0.013180767,0.842500667,0.018479472,0.801337127,0.012930889,0.837983082,0.021446906,0.797924397,0.017015762
11,Decision Tree,new_churn_data,NA,0.829776597,0.020417689,0.786972951,0.013257805,0.828224935,0.02065354,0.786688456,0.013108678,0.823816699,0.019854245,0.788537069,0.010334457
12,ANN,new_churn_data,NA,0.839957026,0.019895776,0.801478769,0.011763839,0.836609811,0.019944377,0.797354801,0.009960558,0.815761908,0.02308628,0.783842291,0.018445545
13,XGBoost,new_churn_data,NA,0.841265564,0.020259045,0.801906522,0.012782074,0.842912915,0.021100557,0.80446617,0.013891667,0.841620681,0.022338662,0.801478769,0.015119085
14,ScopeRules,new_churn_data,NA,0.726438603,0.02553306,0.75213644,0.024966763,0.726438603,0.02553306,0.75213644,0.024966763,0.728945492,0.025810565,0.75213644,0.024966763
15,Logistic Regression,new_icu_data,1,0.858467341,0.013874206,0.908264515,0.007015657,0.864008775,0.012666361,0.912256492,0.006671751,0.873981407,0.015222049,0.913445164,0.00616512
16,Decision Tree,new_icu_data,NA,0.841669583,0.016504854,0.910981849,0.005009029,0.843416519,0.015986637,0.911066955,0.004863739,0.842501553,0.017667089,0.907244613,0.005093903
17,ANN,new_icu_data,NA,0.883636343,0.013303523,0.914549162,0.006270214,0.883332171,0.013511376,0.914719446,0.006159547,0.859450053,0.00904656,0.906395212,0.004964861
18,XGBoost,new_icu_data,NA,0.887914323,0.010432342,0.915398996,0.006253608,0.887441136,0.010307395,0.916078474,0.005917401,0.886973911,0.010657081,0.915058572,0.006012475
19,ScopeRules,new_icu_data,NA,0.637931126,0.022059757,0.894418488,0.007636503,0.637931126,0.022059757,0.894418488,0.007636503,0.637931126,0.022059757,0.894418488,0.007636503
20,Logistic Regression,new_hribm_data,1,0.837420847,0.063304811,0.878917357,0.020337238,0.836894829,0.062766479,0.878232489,0.021822973,0.825986542,0.043909858,0.854413017,0.011143224
21,Decision Tree,new_hribm_data,NA,0.686175999,0.065294262,0.834675807,0.021196171,0.656716166,0.08006773,0.827178709,0.022995407,0.649529534,0.048079154,0.844245832,0.01343683
22,ANN,new_hribm_data,NA,0.832760375,0.067685537,0.870064375,0.021822657,0.839715746,0.058735808,0.874817213,0.019576977,0.794792688,0.052363561,0.853746849,0.015811867
