,Algorithm,Dataset,Parameter,AUC,AUC_STD,ACC,ACC_STD,XMAP_AUC,XMAP_AUC_STD,XMAP_ACC,XMAP_ACC_STD,LAYER_AUC,LAYER_AUC_STD,LAYER_ACC,LAYER_ACC_STD
0,Logistic Regression,new_german_data,1.0,0.7845238095238095,0.03917473502074491,0.745,0.025000000000000026,0.7804761904761904,0.03794135587008944,0.74,0.026457513110645932,0.7824761904761905,0.03875371388829789,0.745,0.021563858652847843
1,Decision Tree,new_german_data,NA,0.7098095238095239,0.044031374095772964,0.709,0.04323193264243457,0.7033809523809524,0.04078159293106961,0.705,0.04177319714841084,0.6788095238095238,0.03701565520369363,0.6979999999999998,0.03370459909270542
2,ANN,new_german_data,NA,0.7796190476190477,0.046612602307504254,0.735,0.020124611797498124,0.782952380952381,0.03762857022333101,0.738,0.022715633383201116,0.7770476190476191,0.04625709481648927,0.744,0.03006659275674581
3,XGBoost,new_german_data,NA,0.7651428571428571,0.04186838247708126,0.749,0.02736786436680804,0.7711904761904762,0.043369555766077865,0.7459999999999999,0.025768197453450273,0.767,0.04272681241171888,0.749,0.029137604568666955
4,ScopeRules,new_german_data,NA,0.6709761904761905,0.0592634735486552,0.6859999999999999,0.03469870314579493,0.6695714285714286,0.06367040627262115,0.6799999999999999,0.036055512754639876,0.6896666666666667,0.04810162616699458,0.655,0.027658633371878665
5,Logistic Regression,new_heart_data,1.0,0.9030664188752423,0.06320352098669425,0.819173155357805,0.08504741146067643,0.9012988849385909,0.06231499019644819,0.8226140155728586,0.0861176671704423,0.8766564318034906,0.06954179723001999,0.7991509084167594,0.07410843169658922
6,Decision Tree,new_heart_data,NA,0.7948549612152553,0.05382952907959289,0.7668149796069706,0.06562452095361801,0.8004888493859083,0.06862989000373289,0.7602410085279941,0.06755237247122671,0.7698822317388494,0.08515075089569166,0.7393511308861698,0.07647574887836657
7,ANN,new_heart_data,NA,0.9033088235294118,0.07315310855796128,0.8228439006303299,0.07751467042368225,0.9059974951519069,0.078473432998231,0.8429662588060809,0.08617561885493959,0.883924531351002,0.07138457221805346,0.8124990730441232,0.07751397517173017
8,XGBoost,new_heart_data,NA,0.895695297349709,0.054478703273203366,0.825632183908046,0.05842262568936939,0.8886534421460892,0.06782335162206025,0.8189581015943641,0.06486303718851102,0.8797410310277958,0.06326600233069608,0.822406377456433,0.060254470848191063
9,ScopeRules,new_heart_data,NA,0.8630343002585649,0.07510360711951176,0.7194512421208751,0.046476410936685336,0.8638847365869424,0.06713760578990242,0.7202261772339636,0.053355452085052275,0.8576508968972204,0.06436716260413418,0.7459176863181313,0.037800576734030575
10,Logistic Regression,new_churn_data,1.0,0.8423442813887462,0.01830103626842537,0.8003405860313755,0.013180767129722994,0.8424370134923151,0.018580723937653993,0.8011958907518117,0.014212152559293019,0.8381333337343306,0.023383598887174326,0.7972119472941841,0.016414066124488928
11,Decision Tree,new_churn_data,NA,0.8297765970073355,0.02041768918047467,0.7869729512821618,0.013257805105809213,0.8286507653178908,0.019911909841934618,0.7871151987928304,0.013291461600593704,0.8275303965764558,0.020070907615540784,0.7920956859279228,0.013371825858469235
12,ANN,new_churn_data,NA,0.8399570261108773,0.01989577649211105,0.8014787687485055,0.011763839338152407,0.8351838158975505,0.02308633976705035,0.796075379874722,0.013125737088211192,0.8127949173613598,0.02389162952753832,0.7822789820322715,0.016631672788704623
13,XGBoost,new_churn_data,NA,0.8412655635878064,0.02025904518461994,0.8019065215611267,0.01278207435720946,0.8421864156794602,0.02095045319852059,0.8033287969143232,0.013138979267711109,0.8409314176245821,0.021391550850582072,0.8003418012464067,0.013809639623601785
14,ScopeRules,new_churn_data,NA,0.7264386032520604,0.025533059630633,0.7521364401298611,0.024966762902742252,0.7264386032520604,0.025533059630633,0.7521364401298611,0.024966762902742252,0.7264386032520604,0.025533059630633,0.7521364401298611,0.024966762902742252
15,Logistic Regression,new_icu_data,1.0,0.8584673407260819,0.013874206174132138,0.9082645152635473,0.007015657288974748,0.8595789168123729,0.01293755555960125,0.9087740694955523,0.0058784625904989484,0.8654901278396337,0.011309183446966966,0.9137853712858076,0.004861445537084096
16,Decision Tree,new_icu_data,NA,0.8416695831669948,0.016504853559070592,0.9109818493392744,0.005009028763435794,0.8430875969238384,0.01313689896993703,0.9110669553539618,0.007976045717994833,0.842860422061895,0.017592366200394484,0.909368441247279,0.00609644569126729
17,ANN,new_icu_data,NA,0.88363634314978,0.013303523066354142,0.9145491617057555,0.006270214418278352,0.8828265728201673,0.011318125640018927,0.9164183927080012,0.004664872059823412,0.8573857234306226,0.01220181608179974,0.9063957891274901,0.005222593720484635
18,XGBoost,new_icu_data,NA,0.8879143229122999,0.010432341714645877,0.9153989957490266,0.006253607500125978,0.8879306683952803,0.010334373874755476,0.915059220803949,0.005695164761684742,0.8868515275980607,0.011744477245243693,0.9159088384759965,0.00556429850676992
19,ScopeRules,new_icu_data,NA,0.6379311262352909,0.02205975676584149,0.8944184879113397,0.007636502835346096,0.6514895378800771,0.01666580117753236,0.8933158601549506,0.004165261401723718,0.5773625466179239,0.06366087856781619,0.8913619558804651,0.003964049252573411
20,Logistic Regression,new_hribm_data,1.0,0.8374208466839226,0.06330481099315877,0.8789173573909383,0.020337238262357407,0.8331467814152196,0.06305427023267883,0.8721282996723311,0.018338555979696546,0.8028852714018024,0.050792807749630256,0.8456296106002563,0.021307255136126104
