spam,WordFreqMake_0.0to0.32,WordFreqMake_0.32to1.29,WordFreqMake_1.29to3.04,WordFreqMake_3.04to4.54,WordFreqAddress_0.0to0.58,WordFreqAddress_0.58to3.05,WordFreqAddress_3.05to9.63,WordFreqAddress_9.63to14.28,WordFreqAll_0.0to0.29,WordFreqAll_0.29to0.94,WordFreqAll_0.94to2.14,WordFreqAll_2.14to5.1,WordFreq3D_0.0to8.76,WordFreq3D_8.76to12.03,WordFreq3D_12.03to19.66,WordFreq3D_19.66to42.81,WordFreqOur_0.0to0.5,WordFreqOur_0.5to1.68,WordFreqOur_1.68to4.3,WordFreqOur_4.3to10.0,WordFreqOver_0.0to0.34,WordFreqOver_0.34to1.37,WordFreqOver_1.37to3.98,WordFreqOver_3.98to5.88,WordFreqRemove_0.0to0.36,WordFreqRemove_0.36to1.31,WordFreqRemove_1.31to3.67,WordFreqRemove_3.67to7.27,WordFreqInternet_0.0to0.42,WordFreqInternet_0.42to1.95,WordFreqInternet_1.95to7.09,WordFreqInternet_7.09to11.11,WordFreqOrder_0.0to0.29,WordFreqOrder_0.29to0.96,WordFreqOrder_0.96to2.64,WordFreqOrder_2.64to5.26,WordFreqMail_0.0to0.88,WordFreqMail_0.88to5.5,WordFreqMail_5.5to13.76,WordFreqMail_13.76to18.18,WordFreqReceive_0.0to0.16,WordFreqReceive_0.16to0.59,WordFreqReceive_0.59to1.31,WordFreqReceive_1.31to2.61,WordFreqWill_0.0to0.47,WordFreqWill_0.47to1.51,WordFreqWill_1.51to3.35,WordFreqWill_3.35to9.67,WordFreqPeople_0.0to0.32,WordFreqPeople_0.32to1.14,WordFreqPeople_1.14to3.6,WordFreqPeople_3.6to5.55,WordFreqReport_0.0to0.65,WordFreqReport_0.65to2.41,WordFreqReport_2.41to6.77,WordFreqReport_6.77to10.0,WordFreqAddresses_0.0to0.4,WordFreqAddresses_0.4to1.33,WordFreqAddresses_1.33to3.14,WordFreqAddresses_3.14to4.41,WordFreqFree_0.0to0.82,WordFreqFree_0.82to3.57,WordFreqFree_3.57to12.23,WordFreqFree_12.23to20.0,WordFreqBusiness_0.0to0.47,WordFreqBusiness_0.47to2.07,WordFreqBusiness_2.07to5.18,WordFreqBusiness_5.18to7.14,WordFreqEmail_0.0to0.66,WordFreqEmail_0.66to2.48,WordFreqEmail_2.48to5.75,WordFreqEmail_5.75to9.09,WordFreqYou_0.0to1.04,WordFreqYou_1.04to2.85,WordFreqYou_2.85to5.6,WordFreqYou_5.6to18.75,WordFreqCredit_0.0to1.41,WordFreqCredit_1.41to10.49,WordFreqCredit_10.49to18.18,WordFreqCredit_18.18to18.18,WordFreqYour_0.0to0.7,WordFreqYour_0.7to2.12,WordFreqYour_2.12to4.54,WordFreqYour_4.54to11.11,WordFreqFont_0.0to3.0,WordFreqFont_3.0to7.66,WordFreqFont_7.66to12.03,WordFreqFont_12.03to17.1,WordFreq0_0.0to0.29,WordFreq0_0.29to1.06,WordFreq0_1.06to2.61,WordFreq0_2.61to5.45,WordFreqMoney_0.0to0.41,WordFreqMoney_0.41to2.95,WordFreqMoney_2.95to7.6,WordFreqMoney_7.6to12.5,WordFreqHP_0.0to1.25,WordFreqHP_1.25to4.93,WordFreqHP_4.93to11.57,WordFreqHP_11.57to20.83,WordFreqHPL_0.0to0.79,WordFreqHPL_0.79to3.08,WordFreqHPL_3.08to9.27,WordFreqHPL_9.27to16.66,WordFreqGeorge_0.0to2.05,WordFreqGeorge_2.05to11.54,WordFreqGeorge_11.54to22.88,WordFreqGeorge_22.88to33.33,WordFreq650_0.0to0.7,WordFreq650_0.7to2.54,WordFreq650_2.54to6.2,WordFreq650_6.2to9.09,WordFreqLab_0.0to1.4,WordFreqLab_1.4to5.31,WordFreqLab_5.31to10.27,WordFreqLab_10.27to14.28,WordFreqLabs_0.0to0.39,WordFreqLabs_0.39to1.36,WordFreqLabs_1.36to2.99,WordFreqLabs_2.99to5.88,WordFreqTelnet_0.0to1.85,WordFreqTelnet_1.85to2.3,WordFreqTelnet_2.3to6.25,WordFreqTelnet_6.25to12.5,WordFreq857_0.0to0.36,WordFreq857_0.36to1.49,WordFreq857_1.49to3.33,WordFreq857_3.33to4.76,WordFreqData_0.0to1.49,WordFreqData_1.49to10.56,WordFreqData_10.56to18.18,WordFreqData_18.18to18.18,WordFreq415_0.0to0.36,WordFreq415_0.36to1.5,WordFreq415_1.5to3.33,WordFreq415_3.33to4.76,WordFreq85_0.0to1.92,WordFreq85_1.92to2.53,WordFreq85_2.53to10.01,WordFreq85_10.01to20.0,WordFreqTechnology_0.0to0.48,WordFreqTechnology_0.48to2.34,WordFreqTechnology_2.34to5.71,WordFreqTechnology_5.71to7.69,WordFreq1999_0.0to0.35,WordFreq1999_0.35to1.13,WordFreq1999_1.13to2.72,WordFreq1999_2.72to6.89,WordFreqParts_0.0to1.72,WordFreqParts_1.72to2.2,WordFreqParts_2.2to3.7,WordFreqParts_3.7to8.33,WordFreqPM_0.0to0.51,WordFreqPM_0.51to2.15,WordFreqPM_2.15to6.23,WordFreqPM_6.23to11.11,WordFreqDirect_0.0to0.31,WordFreqDirect_0.31to1.31,WordFreqDirect_1.31to3.19,WordFreqDirect_3.19to4.76,WordFreqCS_0.0to0.74,WordFreqCS_0.74to2.58,WordFreqCS_2.58to5.29,WordFreqCS_5.29to7.14,WordFreqMeeting_0.0to1.22,WordFreqMeeting_1.22to4.09,WordFreqMeeting_4.09to8.52,WordFreqMeeting_8.52to14.28,WordFreqOriginal_0.0to0.29,WordFreqOriginal_0.29to0.96,WordFreqOriginal_0.96to2.31,WordFreqOriginal_2.31to3.57,WordFreqProject_0.0to2.2,WordFreqProject_2.2to2.9,WordFreqProject_2.9to8.89,WordFreqProject_8.89to20.0,WordFreqRE_0.0to0.87,WordFreqRE_0.87to4.18,WordFreqRE_4.18to12.25,WordFreqRE_12.25to21.42,WordFreqEDU_0.0to1.0,WordFreqEDU_1.0to4.22,WordFreqEDU_4.22to11.66,WordFreqEDU_11.66to22.05,WordFreqTable_0.0to0.32,WordFreqTable_0.32to1.1,WordFreqTable_1.1to1.81,WordFreqTable_1.81to2.17,WordFreqConference_0.0to1.5,WordFreqConference_1.5to1.96,WordFreqConference_1.96to4.59,WordFreqConference_4.59to10.0,CharFreqSemicolon_0.0to0.25,CharFreqSemicolon_0.25to1.68,CharFreqSemicolon_1.68to3.46,CharFreqSemicolon_3.46to4.38,CharFreqParentheses_0.0to0.31,CharFreqParentheses_0.31to2.36,CharFreqParentheses_2.36to6.96,CharFreqParentheses_6.96to9.75,CharFreqBracket_0.0to0.38,CharFreqBracket_0.38to1.77,CharFreqBracket_1.77to3.43,CharFreqBracket_3.43to4.08,CharFreqExcalamationMark_0.0to2.46,CharFreqExcalamationMark_2.46to11.92,CharFreqExcalamationMark_11.92to25.8,CharFreqExcalamationMark_25.8to32.48,CharFreqDollarSign_0.0to0.32,CharFreqDollarSign_0.32to1.66,CharFreqDollarSign_1.66to4.13,CharFreqDollarSign_4.13to6.0,CharFreqPound_0.0to2.72,CharFreqPound_2.72to9.27,CharFreqPound_9.27to16.48,CharFreqPound_16.48to19.83,CapitalRunLengthAverage_1.0to152.26,CapitalRunLengthAverage_152.26to470.43,CapitalRunLengthAverage_470.43to851.0,CapitalRunLengthAverage_851.0to1102.5,CapitalRunLengthLongest_1.0to96.93,CapitalRunLengthLongest_96.93to461.29,CapitalRunLengthLongest_461.29to5004.87,CapitalRunLengthLongest_5004.87to9989.0,CapitalRunLengthTotal_1.0to895.92,CapitalRunLengthTotal_895.92to4876.66,CapitalRunLengthTotal_4876.66to11978.83,CapitalRunLengthTotal_11978.83to15841.0
1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
